,link,date,title,viwers,location,Price,sign,Amenities,Bedrooms,Bathrooms,Area (m²),Level,Type,Furnished,Compound,Built in Kitchen Appliances,Water Meter,Balcony,Landline,Pets Allowed,Security,Maids Room,Pool,Electricity Meter,Covered Parking,Central A/C & heating,Elevator,Natural Gas,Private Garden
0,https://www.olx.com.eg/en/ad/250-IDcKRN9.html, 6 April 2022,شقه ايجار 250متر في البنفسج عمارات في موقع مميز,40,New Cairo - El Tagamoa، Cairo,"7,500 EGP",0,"Security

Electricity Meter

Water Meter

Natural Gas

Landline

Elevator",3,3,250,2,Apartment,,,0,1,0,1,0,1,0,0,1,0,0,1,1,0
1,https://www.olx.com.eg/en/ad/130-IDcKN50.html, 5 April 2022,شقه للايجار فى الرحاب ارضي بجاردن مساحه 130 متر + ٧٠ متر فيو جاردن,43,Rehab City، Cairo,"8,700 EGP",0,,3,2,130,Ground,Apartment,No,Rehab City,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,https://www.olx.com.eg/en/ad/180-IDcK1e1.html, 29 March 2022,شقة 180م قرب السراج مول وقرب اشارة مصطفى النحاس ومكرم عبيد,923,Nasr City، Cairo,"4,300 EGP",0,,3,2,180,3,Apartment,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,https://www.olx.com.eg/en/ad/-IDcKefh.html, 31 March 2022,شقة فاخرة بمكرم عبيد مدينة نصر,235,Nasr City، Cairo,"18,000 EGP",0,,2,1,110,6,Apartment,Yes,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,https://www.olx.com.eg/en/ad/90-IDcKclD.html, 31 March 2022,شقه للايجار بكمبوند 90 افينوالتجمع الخامس بالمطبخ والتكيفات,234,New Cairo - El Tagamoa، Cairo,"18,000 EGP",0,"Balcony

Built in Kitchen Appliances

Central A/C & heating

Covered Parking

Pets Allowed

Private Garden

Security",3,2,180,Ground,Apartment,Yes,,1,0,1,0,1,1,0,0,0,1,1,0,0,1
5,https://www.olx.com.eg/en/ad/-IDcKjGR.html, 1 April 2022,شقة ارضي من مكرم عبيد للسكن وللشركات,896,Nasr City، Cairo,"3,500 EGP",0,,2,1,140,Ground,Apartment,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,https://www.olx.com.eg/en/ad/149-rent-ground-apartment-village-gate-IDcK6Tr.html, 30 March 2022,للايجار شقه ارضى 149م فى فيلدج جيت Rent Ground Apartment Village Gate,210,"New Cairo - El Tagamoa, Cairo","15,000 EGP",0,"Pets Allowed

Security",2,2,149,Ground,Apartment,,Village Gate,0,0,0,0,1,1,0,0,0,0,0,0,0,0
7,https://www.olx.com.eg/en/ad/-IDcxcwL.html, 6 April 2022,شقه مفروشه فندقيه بكمبوند سيتي سنتر من المالك مباشرة,652,Nasr City، Cairo,"1,000 EGP",0,"Balcony

Built in Kitchen Appliances

Private Garden

Central A/C & heating

Security

Covered Parking

Maids Room

Pets Allowed

Pool

Electricity Meter

Water Meter

Natural Gas

Landline

Elevator",3,2,220,9,Apartment,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,https://www.olx.com.eg/en/ad/180-IDcKIPZ.html, 5 April 2022,شقة للإيجار 180م سابا باشا - خطوات لشارع أبو قير والترام,90,Saba Pasha، Alexandria,"7,000 EGP",0,"Balcony

Security

Electricity Meter

Water Meter

Natural Gas

Elevator",3,3,180,4,Apartment,No,,0,1,1,0,0,1,0,0,1,0,0,1,1,0
9,https://www.olx.com.eg/en/ad/330-6-IDcfK9h.html, 4 April 2022,شقه للايجار بسابا باشا ترام 330م 6غرفه سوبر لوكس,139,Saba Pasha، Alexandria,"12,000 EGP",0,,6,2,330,5,Apartment,No,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,https://www.olx.com.eg/en/ad/-IDcKfNe.html, 31 March 2022,للايجار مفروش في التجمع الخامس في فيلات جنوب الاكاديمية,455,New Cairo - El Tagamoa، Cairo,"10,000 EGP",0,,4,3,250,Ground,Apartment,Yes,Not in Compound,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,https://www.olx.com.eg/en/ad/-IDcDrOP.html, 9 February 2022,شقه مفروشه للايجار في بالشيخ زايد فرش فندقي,3866,Sheikh Zayed، Giza,"1,800 EGP",0,"Balcony

Built in Kitchen Appliances

Electricity Meter

Water Meter

Natural Gas

Landline",3,3,165,Ground,Apartment,Yes,,1,1,1,1,0,0,0,0,1,0,0,0,1,0
12,https://www.olx.com.eg/en/ad/40-IDcKkeA.html, 1 April 2022,مكتب للايجار 40م مستقل للايجار بمكرم عبيد,653,Nasr City، Cairo,"2,800 EGP",0,,1,1,40,Ground,Apartment,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
